policy,task,block_index,seed,mode,status,success,action_calls,step_limit,termination,instruction,origin,record_path,record_sha256
xvla,arm_select,0,200000,left,success,1,96,400,task_success,Have the left arm take the block.,reused,xvla/arm_select/arm_select_ep200000_result.json,cee750a4b34d24625112b80e740ef88bcb197406c0714a55236230a2e62665d1
xvla,arm_select,0,200001,right,failure,0,400,400,action_limit,Have the right arm take the block.,reused,xvla/arm_select/arm_select_ep200001_result.json,e61c721a8c64af7cff12e44bcf1ac5e712086a8132935392e9a9ca94ede8e1df
xvla,arm_select,1,200002,left,success,1,100,400,task_success,Use the left arm to retrieve the block.,reused,xvla/arm_select/arm_select_ep200002_result.json,0e2608e70dd3a4eaea17cf9ac444ff1789364535382959ed720dfe15c3822879
xvla,arm_select,1,200003,right,failure,0,400,400,action_limit,Use the right arm to retrieve the block.,reused,xvla/arm_select/arm_select_ep200003_result.json,b7303949b008799fc6be7d45acb08865b3dc6b305fd020518851e14570e3d506
xvla,arm_select,2,200004,left,success,1,96,400,task_success,Let the left arm grab the block.,reused,xvla/arm_select/arm_select_ep200004_result.json,c377b5194ca4f0b0461103190535a540cd4547f80a835bc0cebe884291016877
xvla,arm_select,2,200005,right,failure,0,400,400,action_limit,Let the right arm grab the block.,reused,xvla/arm_select/arm_select_ep200005_result.json,7e1de7489431ed8d072bd169a010d9ee9f861b40d5bb5ff21d496f1bddf6c9a7
xvla,arm_select,3,200006,left,success,1,102,400,task_success,Have the left arm take the block.,reused,xvla/arm_select/arm_select_ep200006_result.json,f48ba5dfcafd441b49cd935a5f4784433e885da25876bfda2b7b750a7cba36ab
xvla,arm_select,3,200007,right,success,1,182,400,task_success,Have the right arm take the block.,reused,xvla/arm_select/arm_select_ep200007_result.json,a1394b7aa258ad697b633a7ab10460b04e0dcfdb512efb6f52432bcf09f62868
xvla,arm_select,4,200008,left,success,1,112,400,task_success,"With the left arm, grab the block.",reused,xvla/arm_select/arm_select_ep200008_result.json,0eca5d5d1353321bd0ffac84d77b04775c42c02c7389e43710b33139fa463bd9
xvla,arm_select,4,200009,right,failure,0,400,400,action_limit,"With the right arm, grab the block.",reused,xvla/arm_select/arm_select_ep200009_result.json,6beaf986dd9624d921fff99151666e221788dfb24ed7c92997335e3459745404
