noun	asset	base_id	raw_task_reachable	current_production	raw_tasks
bottle	001_bottle	0	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	1	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	2	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	3	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	4	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	5	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	6	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	7	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	8	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	9	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	10	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	11	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	12	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	13	yes	yes	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally,adjust_bottle,pick_dual_bottles
bottle	001_bottle	14	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	15	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	16	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally,adjust_bottle,pick_dual_bottles
bottle	001_bottle	17	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	18	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	19	yes	no	pick_diverse_bottles,shake_bottle,shake_bottle_horizontally
bottle	001_bottle	20	no	no	
bottle	001_bottle	21	no	no	
bottle	001_bottle	22	no	no	
cup	021_cup	0	yes	yes	place_empty_cup
cup	021_cup	1	yes	no	place_container_plate
cup	021_cup	2	yes	no	place_container_plate
cup	021_cup	3	yes	no	place_container_plate
cup	021_cup	4	yes	no	place_container_plate
cup	021_cup	5	yes	no	place_container_plate
cup	021_cup	6	yes	no	place_container_plate
cup	021_cup	7	yes	no	place_container_plate
cup	021_cup	8	no	no	
cup	021_cup	9	no	no	
cup	021_cup	10	no	no	
cup	021_cup	11	no	no	
cup	021_cup	12	no	no	
shoe	041_shoe	0	yes	no	place_dual_shoes,place_shoe
