policy,seed,mode,previous_success,success,first_lifted,distractor_lifted_ever,first_distractor_lift_action,target_lift_m,distractor_lift_m,distractor_peak_lift_m,video
xvla,100000,color:red,0,1,target,False,,0.05011075735092163,0.0,0.0,xvla/attribute_select/attribute_select_ep100000_1.mp4
xvla,100001,color:blue,1,0,distractor,True,74,0.060000479221343994,0.0,0.08611845970153809,xvla/attribute_select/attribute_select_ep100001_0.mp4
xvla,100002,decal:cat,1,1,target,False,,0.05006939172744751,0.0,0.0,xvla/attribute_select/attribute_select_ep100002_1.mp4
xvla,100003,decal:dog,0,0,distractor,True,95,0.0,-1.1920928955078125e-07,0.08541595935821533,xvla/attribute_select/attribute_select_ep100003_0.mp4
xvla,100004,shape:block,0,0,distractor,True,93,0.0,-5.960464477539063e-08,0.0954141616821289,xvla/attribute_select/attribute_select_ep100004_0.mp4
xvla,100005,shape:bar,1,1,target,False,,0.050053536891937256,0.0,0.0,xvla/attribute_select/attribute_select_ep100005_1.mp4
xvla,100006,size:big,1,0,distractor,True,96,0.0,1.7881393432617188e-07,0.08836919069290161,xvla/attribute_select/attribute_select_ep100006_0.mp4
xvla,100007,size:small,1,1,target,False,,0.05008125305175781,0.0,0.0,xvla/attribute_select/attribute_select_ep100007_1.mp4
xvla,100008,color:red,1,1,target,False,,0.0501132607460022,0.0,0.0,xvla/attribute_select/attribute_select_ep100008_1.mp4
xvla,100009,color:blue,1,0,distractor,True,96,-1.1920928955078125e-07,-5.960464477539063e-08,0.09030210971832275,xvla/attribute_select/attribute_select_ep100009_0.mp4
xvla,100010,decal:cat,0,0,,False,,5.960464477539063e-08,0.0,0.0,xvla/attribute_select/attribute_select_ep100010_0.mp4
xvla,100011,decal:dog,0,0,,False,,0.0,-1.1920928955078125e-07,0.005198419094085693,xvla/attribute_select/attribute_select_ep100011_0.mp4
xvla,100012,shape:block,0,0,distractor,True,160,0.0,-5.960464477539062e-07,0.1068618893623352,xvla/attribute_select/attribute_select_ep100012_0.mp4
xvla,100013,shape:bar,0,0,,False,,-0.010999739170074463,0.0,0.0,xvla/attribute_select/attribute_select_ep100013_0.mp4
xvla,100014,size:big,0,0,distractor,True,95,0.0004950165748596191,-2.384185791015625e-07,0.09204041957855225,xvla/attribute_select/attribute_select_ep100014_0.mp4
xvla,100015,size:small,1,1,target,False,,0.050063371658325195,0.0,0.0,xvla/attribute_select/attribute_select_ep100015_1.mp4
xvla,100016,color:red,1,1,target,False,,0.05014467239379883,0.0,0.0,xvla/attribute_select/attribute_select_ep100016_1.mp4
xvla,100017,color:blue,1,0,distractor,True,96,5.960464477539063e-08,0.0,0.07961922883987427,xvla/attribute_select/attribute_select_ep100017_0.mp4
xvla,100018,decal:cat,0,0,,False,,-1.7881393432617188e-07,0.0,0.012479066848754883,xvla/attribute_select/attribute_select_ep100018_0.mp4
xvla,100019,decal:dog,0,0,,False,,2.980232238769531e-07,0.00026798248291015625,0.006361842155456543,xvla/attribute_select/attribute_select_ep100019_0.mp4
xvla,100020,shape:block,0,0,distractor,True,93,5.960464477539063e-08,0.13892602920532227,0.13892602920532227,xvla/attribute_select/attribute_select_ep100020_0.mp4
xvla,100021,shape:bar,1,1,target,False,,0.05007046461105347,0.0,0.0,xvla/attribute_select/attribute_select_ep100021_1.mp4
xvla,100022,size:big,0,0,distractor,True,95,0.0,1.7881393432617188e-07,0.08886808156967163,xvla/attribute_select/attribute_select_ep100022_0.mp4
xvla,100023,size:small,1,1,target,False,,0.05010896921157837,0.0,0.0,xvla/attribute_select/attribute_select_ep100023_1.mp4
xvla,100024,color:red,1,1,target,False,,0.05015295743942261,0.0,0.0,xvla/attribute_select/attribute_select_ep100024_1.mp4
xvla,100025,color:blue,1,0,distractor,True,96,-3.5762786865234375e-07,5.960464477539063e-08,0.08011555671691895,xvla/attribute_select/attribute_select_ep100025_0.mp4
xvla,100026,decal:cat,1,1,target,False,,0.05000525712966919,0.0,0.0,xvla/attribute_select/attribute_select_ep100026_1.mp4
xvla,100027,decal:dog,0,0,distractor,True,97,0.0,0.0,0.08160388469696045,xvla/attribute_select/attribute_select_ep100027_0.mp4
xvla,100028,shape:block,1,1,target,False,,0.05006372928619385,0.0,0.0,xvla/attribute_select/attribute_select_ep100028_1.mp4
xvla,100029,shape:bar,0,0,distractor,True,75,0.0,-5.960464477539063e-08,0.09377723932266235,xvla/attribute_select/attribute_select_ep100029_0.mp4
xvla,100030,size:big,0,0,distractor,True,68,4.76837158203125e-07,-3.5762786865234375e-07,0.09704548120498657,xvla/attribute_select/attribute_select_ep100030_0.mp4
xvla,100031,size:small,1,1,target,False,,0.050003111362457275,0.0,0.0,xvla/attribute_select/attribute_select_ep100031_1.mp4
xvla,100032,color:red,1,1,target,False,,0.05006515979766846,0.0,0.0,xvla/attribute_select/attribute_select_ep100032_1.mp4
xvla,100033,color:blue,1,0,distractor,True,106,5.960464477539063e-08,5.960464477539063e-08,0.08059662580490112,xvla/attribute_select/attribute_select_ep100033_0.mp4
xvla,100034,decal:cat,0,0,distractor,True,92,-1.7881393432617188e-07,0.14139395952224731,0.16242825984954834,xvla/attribute_select/attribute_select_ep100034_0.mp4
xvla,100035,decal:dog,1,1,target,False,,0.050006330013275146,-2.384185791015625e-07,0.0008757114410400391,xvla/attribute_select/attribute_select_ep100035_1.mp4
xvla,100036,shape:block,0,0,distractor,True,94,0.0,0.0,0.06164443492889404,xvla/attribute_select/attribute_select_ep100036_0.mp4
xvla,100037,shape:bar,1,1,target,False,,0.050111591815948486,0.0,0.0,xvla/attribute_select/attribute_select_ep100037_1.mp4
xvla,100038,size:big,0,0,distractor,True,96,0.0016646981239318848,1.1920928955078125e-07,0.08740502595901489,xvla/attribute_select/attribute_select_ep100038_0.mp4
xvla,100039,size:small,1,1,target,False,,0.05001586675643921,0.0,0.0,xvla/attribute_select/attribute_select_ep100039_1.mp4
xvla,100040,color:red,1,1,target,False,,0.05004209280014038,0.0,0.0,xvla/attribute_select/attribute_select_ep100040_1.mp4
xvla,100041,color:blue,1,0,distractor,True,77,-1.1920928955078125e-07,-5.960464477539063e-08,0.08992493152618408,xvla/attribute_select/attribute_select_ep100041_0.mp4
xvla,100042,decal:cat,0,0,distractor,True,96,1.1920928955078125e-07,-1.7881393432617188e-07,0.11317592859268188,xvla/attribute_select/attribute_select_ep100042_0.mp4
xvla,100043,decal:dog,1,1,target,False,,0.05006164312362671,-0.7399999741464853,0.01449441909790039,xvla/attribute_select/attribute_select_ep100043_1.mp4
xvla,100044,shape:block,1,1,target,False,,0.050190865993499756,0.046987295150756836,0.046987295150756836,xvla/attribute_select/attribute_select_ep100044_1.mp4
xvla,100045,shape:bar,1,1,target,False,,0.05007898807525635,0.0,0.0,xvla/attribute_select/attribute_select_ep100045_1.mp4
xvla,100046,size:big,0,0,distractor,True,97,1.1920928955078125e-06,1.7881393432617188e-07,0.08999931812286377,xvla/attribute_select/attribute_select_ep100046_0.mp4
xvla,100047,size:small,1,1,target,False,,0.05005931854248047,0.0,0.0,xvla/attribute_select/attribute_select_ep100047_1.mp4
xvla,100048,color:red,1,1,target,False,,0.05007857084274292,0.0,0.0,xvla/attribute_select/attribute_select_ep100048_1.mp4
xvla,100049,color:blue,0,0,distractor,True,70,0.0,-5.960464477539063e-08,0.08313208818435669,xvla/attribute_select/attribute_select_ep100049_0.mp4
xvla,100050,decal:cat,0,0,distractor,True,95,-0.7399997748434544,0.16288942098617554,0.1651461124420166,xvla/attribute_select/attribute_select_ep100050_0.mp4
xvla,100051,decal:dog,1,1,target,False,,0.0500788688659668,-0.7399998120963573,0.01664137840270996,xvla/attribute_select/attribute_select_ep100051_1.mp4
xvla,100052,shape:block,1,1,target,False,,0.05001485347747803,0.0,0.0,xvla/attribute_select/attribute_select_ep100052_1.mp4
xvla,100053,shape:bar,1,0,distractor,True,66,0.0,-1.1920928955078125e-07,0.08744966983795166,xvla/attribute_select/attribute_select_ep100053_0.mp4
xvla,100054,size:big,0,0,distractor,True,69,0.0,-2.980232238769531e-07,0.09931480884552002,xvla/attribute_select/attribute_select_ep100054_0.mp4
xvla,100055,size:small,1,1,target,False,,0.050001561641693115,0.0,0.0,xvla/attribute_select/attribute_select_ep100055_1.mp4
xvla,100064,color:red,1,1,target,False,,0.0500677227973938,0.0,0.0,xvla/attribute_select/attribute_select_ep100064_1.mp4
xvla,100065,color:blue,1,0,distractor,True,96,5.960464477539063e-08,1.1920928955078125e-07,0.08493000268936157,xvla/attribute_select/attribute_select_ep100065_0.mp4
xvla,100066,decal:cat,1,1,target,False,,0.05011183023452759,0.043386995792388916,0.043386995792388916,xvla/attribute_select/attribute_select_ep100066_1.mp4
xvla,100067,decal:dog,1,0,distractor,True,93,0.1146649718284607,0.0,0.11696130037307739,xvla/attribute_select/attribute_select_ep100067_0.mp4
xvla,100068,shape:block,0,0,,False,,0.0,0.0,0.032941341400146484,xvla/attribute_select/attribute_select_ep100068_0.mp4
xvla,100069,shape:bar,0,1,target,False,,0.05003845691680908,0.0,0.0,xvla/attribute_select/attribute_select_ep100069_1.mp4
xvla,100070,size:big,0,0,distractor,True,96,0.0,-5.364418029785156e-07,0.08586418628692627,xvla/attribute_select/attribute_select_ep100070_0.mp4
xvla,100071,size:small,1,1,target,False,,0.05013608932495117,0.0,0.0,xvla/attribute_select/attribute_select_ep100071_1.mp4
xvla,100072,color:red,0,1,target,False,,0.05001610517501831,0.0,0.0,xvla/attribute_select/attribute_select_ep100072_1.mp4
xvla,100073,color:blue,1,0,distractor,True,97,0.011369287967681885,0.0,0.07925665378570557,xvla/attribute_select/attribute_select_ep100073_0.mp4
xvla,100074,decal:cat,0,0,distractor,True,94,-5.960464477539063e-08,0.15474653244018555,0.16588729619979858,xvla/attribute_select/attribute_select_ep100074_0.mp4
xvla,100075,decal:dog,1,1,target,False,,0.05016058683395386,-1.7881393432617188e-07,0.0001665353775024414,xvla/attribute_select/attribute_select_ep100075_1.mp4
xvla,100076,shape:block,0,0,distractor,True,98,0.0,-6.556510925292969e-07,0.06474113464355469,xvla/attribute_select/attribute_select_ep100076_0.mp4
xvla,100077,shape:bar,1,1,target,False,,0.0500217080116272,0.0,0.0,xvla/attribute_select/attribute_select_ep100077_1.mp4
xvla,100078,size:big,1,0,distractor,True,96,0.0,0.06283318996429443,0.09265637397766113,xvla/attribute_select/attribute_select_ep100078_0.mp4
xvla,100079,size:small,1,1,target,False,,0.05012160539627075,0.0,0.0,xvla/attribute_select/attribute_select_ep100079_1.mp4
xvla,100080,color:red,1,1,target,False,,0.0500258207321167,0.0,0.0,xvla/attribute_select/attribute_select_ep100080_1.mp4
xvla,100081,color:blue,1,0,distractor,True,94,0.0,-1.7881393432617188e-07,0.08702874183654785,xvla/attribute_select/attribute_select_ep100081_0.mp4
xvla,100082,decal:cat,1,1,target,False,,0.050105512142181396,0.0,0.0,xvla/attribute_select/attribute_select_ep100082_1.mp4
xvla,100083,decal:dog,0,0,,False,,3.49879264831543e-05,-5.960464477539063e-08,0.013120770454406738,xvla/attribute_select/attribute_select_ep100083_0.mp4
xvla,100084,shape:block,0,0,distractor,True,94,0.050000667572021484,5.960464477539062e-07,0.0980520248413086,xvla/attribute_select/attribute_select_ep100084_0.mp4
xvla,100085,shape:bar,1,1,target,False,,0.05001628398895264,0.0,0.0,xvla/attribute_select/attribute_select_ep100085_1.mp4
xvla,100086,size:big,1,0,distractor,True,70,-1.7881393432617188e-07,-1.1920928955078125e-07,0.09741365909576416,xvla/attribute_select/attribute_select_ep100086_0.mp4
xvla,100087,size:small,1,1,target,False,,0.050103724002838135,0.0,0.0,xvla/attribute_select/attribute_select_ep100087_1.mp4
