task,task_config,block,seed,mode,block_offset,scene_index,scene_offset
bottle_verb,demo_clean,0,100002,pick,0,50001,0
bottle_verb,demo_clean,0,100003,shake,1,50001,1
bottle_verb,demo_clean,1,100004,pick,0,50002,0
bottle_verb,demo_clean,1,100005,shake,1,50002,1
bottle_verb,demo_clean,2,100006,pick,0,50003,0
bottle_verb,demo_clean,2,100007,shake,1,50003,1
bottle_verb,demo_clean,3,100008,pick,0,50004,0
bottle_verb,demo_clean,3,100009,shake,1,50004,1
bottle_verb,demo_clean,4,100010,pick,0,50005,0
bottle_verb,demo_clean,4,100011,shake,1,50005,1
bottle_verb,demo_clean,5,100016,pick,0,50008,0
bottle_verb,demo_clean,5,100017,shake,1,50008,1
bottle_verb,demo_clean,6,100018,pick,0,50009,0
bottle_verb,demo_clean,6,100019,shake,1,50009,1
bottle_verb,demo_clean,7,100020,pick,0,50010,0
bottle_verb,demo_clean,7,100021,shake,1,50010,1
bottle_verb,demo_clean,8,100022,pick,0,50011,0
bottle_verb,demo_clean,8,100023,shake,1,50011,1
bottle_verb,demo_clean,9,100024,pick,0,50012,0
bottle_verb,demo_clean,9,100025,shake,1,50012,1
bottle_verb,demo_clean,10,100026,pick,0,50013,0
bottle_verb,demo_clean,10,100027,shake,1,50013,1
bottle_verb,demo_clean,11,100030,pick,0,50015,0
bottle_verb,demo_clean,11,100031,shake,1,50015,1
bottle_verb,demo_clean,12,100032,pick,0,50016,0
bottle_verb,demo_clean,12,100033,shake,1,50016,1
bottle_verb,demo_clean,13,100038,pick,0,50019,0
bottle_verb,demo_clean,13,100039,shake,1,50019,1
bottle_verb,demo_clean,14,100042,pick,0,50021,0
bottle_verb,demo_clean,14,100043,shake,1,50021,1
bottle_verb,demo_clean,15,100048,pick,0,50024,0
bottle_verb,demo_clean,15,100049,shake,1,50024,1
bottle_verb,demo_clean,16,100050,pick,0,50025,0
bottle_verb,demo_clean,16,100051,shake,1,50025,1
bottle_verb,demo_clean,17,100052,pick,0,50026,0
